Image,Answer,Deck
Slump.png,"Slump; Identifies neural tension, dural involvement, or sciatic nerve compression",Back
Cozen.png,Cozen; Lateral epicondylopathy,Elbow
Tennis_Elbow.png,Tennis; Lateral epicondylopathy,Elbow
Golfer.png,Golfers; Medial epicondylopathy,Elbow
Tinel elbow.png,Tinel; Ulnar nerve compromise,Elbow
Valgus elbow.png,Valgus; Ulnar collateral ligament sprain,Elbow
Varus elbow.png,Varus; Radial collateral ligament sprain,Elbow
allen.png,Allen; Partial or complete occlusion of the radial or ulnar arteries,Wrist
finkelstein.png,Finkelstein; Tenosynovitis of the pollicis longus and extensor pollicis brevis tendons,Wrist
phalen.png,Phalen; Carpal tunnel syndrome or median nerve compression,Wrist
tinel wrist.png,Tinel; Compression of median nerve in the carpal tunnel or carpal tunnel syndrome,Wrist
